samples;total_number_of_reads;file_size;GC_content;total_number_of_bases;complete_sequence_size;average_read_size;read_size_mode;read_size_median;lowest_read_size;highest_read_size
mgm4441093;57487238;58485;0.6132653590065305;55743791;55743791;953.1297084722578;1028;990;211;1378
mgm4441102;70967205;85367;0.3847818337517777;68417297;68417297;801.4490025419659;691;759;110;2994
mgm4441205;136042434;495641;0.6301280152630399;120787472;120787472;243.69951638383426;241;246;50;12888
mgm4441363;99718313;425549;0.4265359021403932;86637258;86637258;203.58938218630522;257;232;50;390
mgm4441570;675844943;642321;0.5238563963846723;656044096;656044096;1021.3648565125537;1032;1023;335;2048
mgm4441571;675844943;642321;0.5238563963846723;656044096;656044096;1021.3648565125537;1032;1023;335;2048
mgm4441573;330455919;316901;0.36050343810411023;320742905;320742905;1012.1233602923311;993;1007;413;2048
mgm4441574;382849716;368680;0.37282104380881353;371531678;371531678;1007.7348323749593;1008;1007.0;518;2048
mgm4441663;70968357;85369;0.38478352092178725;68418390;68418390;801.4430296711921;691;759;110;2994
mgm4441695;6366571;49562;0.5714496329367635;4890438;4890438;98.67313667729309;98;99.0;50;183
mgm4441696;7495590;58229;0.559915103240474;5759466;5759466;98.9106115509454;99;99;50;179
mgm4441834;65305332;240459;0.47052865181375086;57962177;57962177;241.04806640633123;256;255;50;407
mgm4441835;53217014;189821;0.43951747893590565;47443649;47443649;249.93888452805538;272;263;50;515
mgm4442086;78782952;283329;0.44903274833097057;70110657;70110657;247.45316222483402;266;263;50;404
mgm4442466;90056868;344825;0.56618586069385;79478214;79478214;230.48854926411948;244;245;50;366
mgm4442467;8171959;22486;0.5532779363689613;7508474;7508474;333.91772658543096;241;239.0;95;12866
mgm4442643;40723433;97100;0.4236132821258238;37821536;37821536;389.511184346035;498;450.0;50;665
mgm4442652;48224847;176631;0.4436378642382047;42860379;42860379;242.65490768891078;52;166;50;666
mgm4442653;42051426;118275;0.49531936950626204;38495989;38495989;325.478664130205;488;403;50;624
mgm4443316;39712787;152150;0.4060834134784921;35107132;35107132;230.74026947091687;258;251.0;50;381
mgm4443317;68263617;363355;0.49722049233911103;57110474;57110474;157.17541797966177;256;150;50;365
mgm4443776;90425468;340959;0.47687279567111346;79966799;79966799;234.5349411512821;253;248;50;363
mgm4443777;101152033;372574;0.46833274893464233;89713297;89713297;240.79323033813418;254;252.0;50;355
mgm4444195;48676238;206257;0.45690756972705526;42391436;42391436;205.52725968088356;274;219;50;395
mgm4444196;59404122;235367;0.5510712520541888;52214649;52214649;221.84354221279958;270;254;50;466
mgm4445728;40416799;90534;0.5133349552825938;37711825;37711825;416.5487551638059;490;454.0;100;902
mgm4445729;63326402;144327;0.5247384660241741;58963276;58963276;408.5394693993501;469;447;100;644
mgm4445730;119586045;351667;0.5031024335125489;108792823;108792823;309.36318448987254;387;313;100;661
mgm4445731;32639842;73070;0.4422032379890464;30458843;30458843;416.8447105515259;501;451.0;100;1666
mgm4445734;59110441;179160;0.49592046241991866;53645786;53645786;299.42948202723824;331;301.0;100;595
mgm4445735;192140012;560395;0.44045760447387805;174871105;174871105;312.0497238554948;316;315;100;1242
mgm4445736;44997621;145676;0.47090324369459524;40592755;40592755;278.6509445619045;242;274.0;100;609
mgm4445737;34117445;104420;0.49168205055313247;30983718;30983718;296.72206473855584;339;298.0;100;1080
mgm4446075;72759022;179311;0.4836965146484753;67311374;67311374;375.38898338640684;463;406;100;790
mgm4446120;57099124;126452;0.4216882879930158;53290209;53290209;421.426383133521;502;456.0;100;2017
mgm4446121;48708819;109207;0.40657529913540935;45423576;45423576;415.9401503566621;498;452;100;645
mgm4446122;34282425;79090;0.4987354014476203;31920802;31920802;403.6009862182324;491;443.0;100;642
mgm4446124;31498480;73267;0.4930826398323691;29311543;29311543;400.06473582922735;488;439;100;640
mgm4446125;29071206;71828;0.5191460806900983;26926947;26926947;374.8809238736983;468;412.0;100;625
mgm4446126;47692335;111548;0.5630392727717666;44345253;44345253;397.54413346720696;465;448.0;100;759
mgm4446341;21153095;56773;0.5407519959138811;19461010;19461010;342.786359713244;479;364;50;628
mgm4446342;26087145;70863;0.5319701301010776;23972361;23972361;338.29164726302866;490;356;50;603
mgm4446406;23856992;68512;0.452953398689041;21812734;21812734;318.3782986921999;381;333.0;50;613
mgm4446411;16218997;46805;0.44639328701410114;14825951;14825951;316.759982907809;364;328;50;738
mgm4446412;7505108;20648;0.5231238518694238;6896537;6896537;334.0050852382797;483;351.0;50;635
mgm4446437;7314787;26039;0.40369427569093863;6544720;6544720;251.34298552171742;241;225;93;5112
mgm4447101;138431458;291400;0.46186757539475576;129509074;129509074;444.4374536719286;502;485.0;50;861
mgm4447102;74867241;160712;0.4913115267650962;69959472;69959472;435.30957240280753;496;480.0;50;1137
mgm4447103;217269378;458589;0.4353249833885545;203164138;203164138;443.0200855232027;505;484;50;878
mgm4447192;83343238;201054;0.4750540061646481;77221277;77221277;384.08227142956616;414;415.0;50;602
mgm4447446;27653334;60704;0.48093159476423325;25843168;25843168;425.7243015287296;498;466.0;50;615
mgm4447447;36118901;79673;0.44861779425931725;33739297;33739297;423.4721549332898;492;462;50;802
mgm4447448;26139536;57507;0.47031129725812776;24424661;24424661;424.72500739040464;487;465;50;629
mgm4447449;32936552;73026;0.45903771144023353;30756741;30756741;421.17521156848244;499;461.0;50;747
mgm4447454;23838231;53298;0.47198965172133034;22249884;22249884;417.4618935044467;495;459.0;50;634
mgm4447455;31807854;70193;0.4585412098700513;29712348;29712348;423.2950294188879;491;465;50;647
mgm4447456;28635482;63072;0.46931775210733817;26754249;26754249;424.1858352359209;494;464.0;50;613
mgm4447457;12110690;26674;0.479867869492284;11321231;11321231;424.4294444027892;496;467.0;50;625
mgm4447483;79652066;166721;0.5106759169008263;74594436;74594436;447.4207568332724;495;486;100;666
mgm4447551;57073646;125159;0.4958982437800532;53303631;53303631;425.8873193298125;498;476;100;657
mgm4447810;288788703;1094449;0.5949796012036821;254873617;254873617;232.87847766318941;250;245;60;6136
mgm4447811;271506879;1024182;0.5938811163422679;239839239;239839239;234.1763856423956;248;243.0;60;38489
mgm4447862;62874550;148164;0.4737594048893993;58391835;58391835;394.10271725925327;488;430.0;100;642
mgm4447903;131797758;300604;0.47003433370028264;122590049;122590049;407.81243429894477;495;451.0;50;1116
mgm4447943;151863421;333415;0.4524957907829841;141638575;141638575;424.81164614669405;495;472;50;1080
mgm4447970;29141918;65421;0.5595462282857714;27190236;27190236;415.6193882698216;507;472;50;1049
mgm4447971;39858162;92869;0.48656397569728854;37083105;37083105;399.30552714038055;487;443;50;1062
mgm4448187;83456640;226398;0.3870629100767593;76547864;76547864;338.11192678380553;370;352.0;50;664
mgm4448427;4047637;10797;0.4391404919377274;3734741;3734741;345.90543669537834;508;358;100;623
mgm4449103;295161434;660270;0.42839255182041025;274803739;274803739;416.19903827222197;510;469.0;50;741
mgm4449104;284560250;627174;0.39132945235866545;265228391;265228391;422.8944296160236;503;466.0;50;821
mgm4449249;25363999;59179;0.6249761649835684;23599732;23599732;398.7855827236013;486;438;50;590
mgm4449252;39302525;91373;0.6130019675474703;36572434;36572434;400.254276427391;475;440;50;625
mgm4449255;34555950;79484;0.6286757202726349;32182536;32182536;404.8932615369131;489;446.0;50;622
mgm4449256;38057853;86606;0.628149504590779;35470777;35470777;409.56489157795073;484;451.0;50;615
mgm4449258;28280238;65014;0.6227768243817111;26340924;26340924;405.15771987571907;480;447.0;50;596
mgm4449259;19469811;64452;0.4349787611816735;17547351;17547351;272.25456153416496;51;244.0;50;620
mgm4449268;13199923;40599;0.43664702639296576;11993044;11993044;295.4024483361659;55;308;50;638
mgm4449284;33112196;76232;0.6331142379200227;30836337;30836337;404.50646710043026;477;445.0;50;612
mgm4449356;17880571;48551;0.6283367224130735;16435140;16435140;338.5129039566641;355;357;50;579
mgm4449357;27626184;63698;0.631603609778085;25726346;25726346;403.87996483406073;486;444.0;50;606
mgm4449358;33580965;89603;0.6267386677533876;30903978;30903978;344.8989207950627;368;364;50;611
mgm4449359;23098970;61307;0.630657342733615;21270852;21270852;346.95633451318776;473;367;50;600
mgm4449360;31777554;83472;0.6355681579031031;29284491;29284491;350.8301106958022;455;372.0;50;622
mgm4449362;32957118;86673;0.623090886651038;30368024;30368024;350.3746726200778;473;372;50;594
mgm4449363;25774473;68349;0.6256698147600515;23735107;23735107;347.2634127785337;418;368;50;613
mgm4449364;24843843;64590;0.6322829701141677;22917247;22917247;354.8110698250503;472;377.0;50;626
mgm4449365;14841244;38751;0.6242896635199234;13689815;13689815;353.27643157595935;452;375;50;589
mgm4449589;270274788;442403;0.451191043169942;256671343;256671343;580.175412463297;543;565;50;1200
mgm4449685;202596635;562967;0.4220681387868082;185254898;185254898;329.0688406247613;378;344;50;687
mgm4449877;36544120;83725;0.626330633187748;34043473;34043473;406.6106061510899;482;448;50;589
mgm4449956;425129525;1021284;0.5833301961031434;393553100;393553100;385.3512832865295;483;416.0;60;2870
mgm4450123;47120606;108119;0.6170928731822108;43880019;43880019;405.84928643439173;405;413;150;591
mgm4450124;38951832;89227;0.6232017645972037;36286128;36286128;406.67206114741055;418;414;150;644
mgm4450125;44910450;103229;0.6208406609166957;41821428;41821428;405.13254996173555;414;413;150;630
mgm4450126;44414303;101662;0.6135422863963584;41373885;41373885;406.9749267179477;399;413.0;150;590
mgm4450127;60268741;136499;0.5919097595142926;56148368;56148368;411.3463688378669;415;418;151;629
mgm4450130;318963922;723582;0.6320228144499409;296643926;296643926;409.96587256178293;491;446.0;50;951
mgm4450131;296876926;661949;0.6410342201387611;276467523;276467523;417.65683307928555;496;468;50;850
mgm4450171;307833729;708939;0.6075069430407795;285967642;285967642;403.3741154034409;492;437;50;964
mgm4450172;331058994;753075;0.6115288688545448;307824735;307824735;408.75707598844735;492;443;50;1022
