"samples","file_size","total_number_of_reads","GC_content","total_number_of_bases","complete_sequence_length","average_read_size","read_size_mode","read_size_median","lowest_read_size","highest_read_size","life_style","biosphere","ecosystem","habitat","country","latitude","longitude","seq_method"
"mgm4460736",133130185,305906,0.410897040697729,123757618,123757618,404.560937019869,493,461,50,759,"free-living","marine","saline_water","coastal_seawater","Pacific Ocean",-12.37444,-77,"454"
"mgm4461375",53376381,120438,0.48460271988028,49748072,49748072,413.059599129843,479,459,60,1030,"host-associated","terrestrial","animal_host-associated","animal_feces","United States of America",38.633556,-90.29137,"454"
"mgm4465556",171458164,409305,0.496246837925926,158879896,158879896,388.169936844163,486,412,100,899,"host-associated","terrestrial","plant_associated","rhizosphere","Spain",36.96971,-3.46027,"454"
"mgm4466309",70861823,169976,0.372623670614068,65703644,65703644,386.546594813385,493,428,60,724,"free-living","marine","saline_water","coral_reef_seawater","USA",-17.4821083,-162.11346,"454"
"mgm4466597",41986116,97767,0.474707183606045,39064155,39064155,399.563809874498,478,441,60,724,"free-living","marine","saline_water","coral_reef_seawater","Kiribati",-17.9139694,-151.81964,"454"
"mgm4466736",73544823,170735,0.486310645561283,68362464,68362464,400.400995695083,490,445,60,811,"free-living","marine","saline_water","coral_reef_seawater","USA",-160.006,-159.998,"454"
"mgm4466737",99359183,226595,0.508676128467116,92441462,92441462,407.958966437918,489,453,60,781,"free-living","marine","saline_water","coral_reef_seawater","USA",-0.36537,-160.006,"454"
"mgm4466739",21258069,49708,0.511095046062969,19777926,19777926,397.882151766315,475,444,60,780,"free-living","marine","saline_water","coral_reef_seawater","USA",-17.9836444,-160.00819,"454"
"mgm4466740",50297140,113707,0.444591368696243,46882813,46882813,412.312460974258,474,458,60,703,"free-living","marine","saline_water","coral_reef_seawater","USA",1.99095,-162.3486,"454"
"mgm4466741",92592123,224851,0.521248565673979,85732775,85732775,381.287052314644,476,425,60,753,"free-living","marine","saline_water","coral_reef_seawater","USA",-20.504,-162.386,"454"
"mgm4466745",65987312,155662,0.512538853044404,61272869,61272869,393.627661214683,469,436,60,716,"free-living","marine","saline_water","coral_reef_seawater","Kiribati",-20.504,-157.48251,"454"
"mgm4466813",47542780,112840,0.427782840452197,44155406,44155406,391.309872385679,477,432,60,747,"free-living","marine","saline_water","coral_reef_seawater","USA",0.80418,-162.0755,"454"
"mgm4466835",32505902,73587,0.557370640410159,30309388,30309388,411.885088398766,474,454,60,836,"free-living","marine","saline_water","coral_reef_seawater","Kiribati",-20.53,-159.36047,"454"
"mgm4466844",32068950,82819,0.444548537021738,29595450,29595450,357.350970188,408,377,60,707,"free-living","marine","saline_water","coral_reef_seawater","Kiribati",-20.53,-152.30954,"454"
"mgm4466846",126557367,285459,0.511289706820231,117819180,117819180,412.73590953517,466,450,60,772,"free-living","marine","saline_water","coral_reef_seawater","Kiribati",-20.57671667,-160.42023,"454"
"mgm4467029",218961784,500529,0.464068900112703,203556474,203556474,406.682677726965,484,449,50,703,"free-living","freshwater","freshwater","lake","United States of America",42.14694444,-8.014444444,"454"
"mgm4467058",259064017,632812,0.514619701126789,239557770,239557770,378.560725776376,480,415,50,1189,"free-living","freshwater","freshwater","lake","People's Republic of China",31.26,120.12,"454"
"mgm4467059",94568543,217920,0.409579427110864,87923713,87923713,403.467845998532,485,449,50,915,"free-living","freshwater","freshwater","lake","United States of America",40.531,-84.499,"454"
