"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4623271","stream","water","water",NA,"merged_GRL7042_L1-4_R2","Effect of storm events on transport of antibiotic resistance genes in surface water","metagenome","WGS","north america","USA",37.21,-80.445,"small river biome","mgp12991","free-living","stream","freshwater","freshwater"
"mgm4623272","stream","water","water",NA,"merged_GRL7041_L1-3_R2","Effect of storm events on transport of antibiotic resistance genes in surface water","metagenome","WGS","north america","USA",37.21,-80.445,"small river biome","mgp12991","free-living","stream","freshwater","freshwater"
"mgm4635906","river","sediment","sediment",NA,"NF2retain2","WC","metagenome","WGS",NA,"USA",38.010278,-81.150528,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4635907","river","sediment","sediment",NA,"NF3dretain2","WC","metagenome","WGS",NA,"USA",38.015222,-81.150917,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4635908","river","sediment","sediment",NA,"NF3retain2","WC","metagenome","WGS",NA,"USA",38.015222,-81.150917,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4635909","river","sediment","sediment",NA,"NF4retain2","WC","metagenome","WGS",NA,"USA",38.015222,-81.153083,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4635910","river","sediment","sediment",NA,"NF6retain2","WC","metagenome","WGS",NA,"USA",38.014944,-81.152361,"small river biome","mgp11969","free-living","river_sediment","freshwater","sediment"
"mgm4639039","stream","biofilm material","microbial mat|biofilm",NA,"BroadBranch_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",38.944929,-77.050302,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639040","stream","biofilm material","microbial mat|biofilm",NA,"BushCreek_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.369119,-77.3855,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639041","stream","biofilm material","microbial mat|biofilm",NA,"CATOBHC_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.626218,-77.439928,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
"mgm4639042","stream","biofilm material","microbial mat|biofilm",NA,"CATOBHC_tail_biofilm","NCR Park biofilm metagenomes","metagenome","WGS","north america","USA",39.631216,-77.454625,"small river biome","mgp14051","free-living","stream_biofilm","freshwater","freshwater"
