" project_id","latitude","longitude","ecosystem","Habitat","n","Realm ","Biome","Functional group"
"mgp80013","40.8","-96.68","Animal host","animal_feces",2,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp80013","40.8","-96.67","Animal host","animal_feces",3,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp80013","40.81","-96.69","Animal host","animal_feces",1,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp80013","40.81","-96.67","Animal host","animal_feces",1,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp3854","41.37","-71.95","Animal host","animal_feces",1,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp12657","41.83","140.74","Animal host","animal_feces",2,"Marine","Marine shelf",
"mgp1451","42.31","71.53","Animal host","animal_feces",19,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp1452","42.31","71.53","Animal host","animal_feces",21,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp3854","42.4","-71.1","Animal host","animal_feces",1,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp6244","42.44","-76.5","Animal host","animal_feces",8,"Terrestrial","Intensive land use","Urban and industirla ecosystems"
"mgp6393","42.44","-76.5","Animal host","animal_feces",9,"Terrestrial","Savannas and grasslands","Temperate subhumid grasslands"
"mgp3854","42.5","-71.4","Animal host","animal_feces",1,"Terrestrial","Temperate-boreal forests and woodlands","Deciduous temperate forests"
"mgp3854","42.5","-71.3","Animal host","animal_feces",4,"Terrestrial ","Temperate-boreal forests and woodlands","Deciduous temperate forests"
"mgp20043","42.67","-76.53","Animal host","animal_feces",36,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp3854",44,-66,"Animal host","animal_feces",2,"Marine","Pelagic ocean waters ","Epipelagic ocean waters"
"mgp13064","44.51","11.35","Animal host","animal_feces",36,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp13081","44.51","11.35","Animal host","animal_feces",88,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp13450","44.51","11.35","Animal host","animal_feces",18,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp15768","44.51","11.35","Animal host","animal_feces",7,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp3854","44.61","-66.46","Animal host","animal_feces",2,"Marine","Pelagic ocean waters ","Epipelagic ocean waters"
"mgp17781","46.09","7.17","Animal host","animal_feces",9,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp21090","46.09","7.17","Animal host","animal_feces",9,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp17781","46.19","6.15","Animal host","animal_feces",10,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp21090","46.19","6.15","Animal host","animal_feces",10,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp6465","46.73","-94.69","Animal host","animal_feces",15,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp5902","47.24","8.3","Animal host","animal_feces",2,"Terrestrial ","Intensive land use","Urban and industrial ecosystems"
"mgp3854","56.9","-135.6","Animal host","animal_feces",1,"Marine","Pelagic ocean waters ","Epipelagic ocean waters"
"mgp83238","-1.41","34.91","Animal host","animal_manure",1,"Terrestrial","Savannas and grasslands ","Trophic savannas"
"mgp83048",35,126,"Animal host","animal_manure",1,"Terrestrial","Intensive land use","Urban and industrial ecosystems"
"mgp16463","37.22","-80.42","Animal host","animal_manure",17,"Terrestrial","Intensive land use","Sown pastures and fields"
"mgp9147","37.22","-80.42","Animal host","animal_manure",16,"Terrestrial","Intensive land use","Sown pastures and fields"
