"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4552624","farm","agricultural soil","soil",NA,"2013_18_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8762972222222,-84.9788666666667,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552625","farm","agricultural soil","soil",NA,"2013_19_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8761305555556,-84.9817638888889,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552626","farm","agricultural soil","soil",NA,"2013_1_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7653833333333,-84.8479583333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552627","farm","agricultural soil","soil",NA,"2013_20_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8797194444444,-84.9821777777778,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552628","canopy","leafy wood soil","soil",NA,"2013_23_forest_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7509444444444,-84.9187777777778,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","forest_soil","terrestrial","soil","smith","illumina"
"mgm4552629","canopy","leafy wood soil","soil",NA,"2013_24_forest_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7955916666667,-84.9220416666667,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","forest_soil","terrestrial","soil","smith","illumina"
"mgm4552630","farm","agricultural soil","soil",NA,"2013_2_Corn_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7737861111111,-84.8161083333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552631","farm","agricultural soil","soil",NA,"2013_3_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7673638888889,-84.8342472222222,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552632","farm","agricultural soil","soil",NA,"2013_5_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8996555555556,-85.0046583333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552634","farm","agricultural soil","soil",NA,"2013_7_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8877222222222,-84.9814111111111,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552635","farm","agricultural soil","soil",NA,"2013_8_Corn_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8902666666667,-84.9825833333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552636","farm","agricultural soil","soil",NA,"2013_9_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.9469472222222,-84.8146777777778,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","agricultural_soil","terrestrial","soil","smith","illumina"
"mgm4552786","organic feature","mucus","human-associated",NA,"copd_unused2","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4552904","organic feature","mucus","human-associated",NA,"SCON02","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4552905","organic feature","mucus","human-associated",NA,"SCON03","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4552977","organic feature","mucus","human-associated",NA,"COPD07","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4552978","organic feature","mucus","human-associated",NA,"COPD08","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4552979","organic feature","mucus","human-associated",NA,"LNEG01","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4552980","organic feature","mucus","human-associated",NA,"LNEG02","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4552981","organic feature","mucus","human-associated",NA,"LNEG05","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4552982","organic feature","mucus","human-associated",NA,"LPOS02","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4552983","organic feature","mucus","human-associated",NA,"SCON06","Metagenomics of the Diseased Lung","metagenome","WGS",NA,"United Kingdom",51.60777,-3.978657,"Temperate broadleaf and mixed forest biome","mgp7381","host-associated","lung","terrestrial","human_host-associated","cameron","illumina"
"mgm4600900","forest","soil","soil",NA,"Ah-1-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600901","forest","soil","soil",NA,"Ah-1-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600902","forest","soil","soil",NA,"Ah-2-1.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
"mgm4600903","forest","soil","soil",NA,"Ah-2-2.fastq","HaloProc_2","metagenome","WGS",NA,"Germany",48.506667,90.41389,"Temperate broadleaf and mixed forest biome","mgp11442","free-living","forest_soil","terrestrial","soil","weigold","illumina"
