samples,feature,material,env.package,metagenome_taxonomy,sample_name,project_name,investigation_type,sequence_type,continent,country,latitude,longitude,raw_biome,project_id,life_style,habitat,biosphere,ecosystem,PI_lastname,seq_meth
mgm4520365,plant-associated habitat,bulk soil,plant-associated,NA,soil_S34_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00936,-72.49427,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520366,plant-associated habitat,bulk soil,plant-associated,NA,soil_S35_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02556,-72.46173,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520368,plant-associated habitat,bulk soil,plant-associated,NA,soil_S36_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01508,-72.52867,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520369,plant-associated habitat,bulk soil,plant-associated,NA,soil_S36_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01508,-72.52867,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520370,plant-associated habitat,bulk soil,plant-associated,NA,soil_S37_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06267,-75.45014,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520371,plant-associated habitat,bulk soil,plant-associated,NA,soil_S37_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.06267,-75.45014,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520372,plant-associated habitat,bulk soil,plant-associated,NA,soil_S38_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02536,-72.4617,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520373,plant-associated habitat,bulk soil,plant-associated,NA,soil_S38_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.02536,-72.4617,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520374,plant-associated habitat,bulk soil,plant-associated,NA,soil_S39_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00942,-72.49433,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520375,plant-associated habitat,bulk soil,plant-associated,NA,soil_S39_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00942,-72.49433,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520376,plant-associated habitat,bulk soil,plant-associated,NA,soil_S40_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01512,-72.5286,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520377,plant-associated habitat,bulk soil,plant-associated,NA,soil_S40_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01512,-72.5286,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520378,plant-associated habitat,bulk soil,plant-associated,NA,soil_S41_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01504,-72.52848,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520379,plant-associated habitat,bulk soil,plant-associated,NA,soil_S41_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01504,-72.52848,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520380,plant-associated habitat,bulk soil,plant-associated,NA,soil_S42_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01446,-72.52847,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520381,plant-associated habitat,bulk soil,plant-associated,NA,soil_S42_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01446,-72.52847,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520382,plant-associated habitat,bulk soil,plant-associated,NA,soil_S43_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.0254,-72.46171,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520384,plant-associated habitat,bulk soil,plant-associated,NA,soil_S44_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01434,-72.52871,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520385,plant-associated habitat,bulk soil,plant-associated,NA,soil_S44_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01434,-72.52871,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520386,plant-associated habitat,bulk soil,plant-associated,NA,soil_S45_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01441,-72.52852,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520387,plant-associated habitat,bulk soil,plant-associated,NA,soil_S45_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01441,-72.52852,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520388,plant-associated habitat,bulk soil,plant-associated,NA,soil_S46_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00945,-72.4943,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520389,plant-associated habitat,bulk soil,plant-associated,NA,soil_S46_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.00945,-72.4943,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520390,plant-associated habitat,bulk soil,plant-associated,NA,soil_S47_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01444,-72.5284,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520391,plant-associated habitat,bulk soil,plant-associated,NA,soil_S47_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01444,-72.5284,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520392,plant-associated habitat,bulk soil,plant-associated,NA,soil_S48_L001_R1_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01534,-72.52817,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
mgm4520393,plant-associated habitat,bulk soil,plant-associated,NA,soil_S48_L001_R2_001,Merlot microbiome,metagenome,WGS,north america,United States of America,41.01534,-72.52817,Udvardy biome,mgp4184,host-associated,rhizosphere,terrestrial,plant-associated,gilbert,illumina
