"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem","PI_lastname","seq_meth"
"mgm4719962","marine water body","water","water",NA,"ERR771012_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",39.3322,-75.4699,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719963","marine water body","water","water",NA,"ERR771020_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",35.086353,-2.214658,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719964","marine water body","water","water",NA,"ERR770967_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",38.48435,21.31689,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719965","marine water body","water","water",NA,"ERR771037_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",51.334817,2.50215,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719966","marine water body","water","water",NA,"ERR771106_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",50.151,-4.13,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719968","marine water body","water","water",NA,"ERR771009_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",32.7524,79.89954,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719969","marine water body","water","water",NA,"ERR771024_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",64.208333,-22.015,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719970","marine water body","water","water",NA,"ERR771093_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",-8.703761,40.659875,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719971","marine water body","water","water",NA,"ERR770991_","Ocean Sampling Day","metagenome","WGS",NA,"Pacific Ocean",21.2888,-156.86362,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719972","marine water body","water","water",NA,"ERR771029_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",51.481583,2.451483,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719973","marine water body","water","water",NA,"ERR771102_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",32.64605,-16.910158,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719974","marine water body","water","water",NA,"ERR771070_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",31.98282,-81.01667,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719975","marine water body","water","water",NA,"ERR771053_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",59.622,10.6282,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719976","marine water body","water","water",NA,"ERR770977_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",54.8333,10,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719977","marine water body","water","water",NA,"ERR771061_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",-34.6759,-54.2752,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719978","marine water body","water","water",NA,"ERR771086_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",29.4667,34.9291,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719979","marine water body","water","water",NA,"ERR771021_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",35.1927,-2.88005,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719981","marine water body","water","water",NA,"ERR77100","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",45.325568,13.33189,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719982","marine water body","water","water",NA,"ERR771069_","Ocean Sampling Day","metagenome","WGS",NA,"Pacific Ocean",21.26882,-157.72231,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719983","marine water body","water","water",NA,"ERR771045_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",38.41333,27.03421,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719984","marine water body","water","water",NA,"ERR771041_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",51.307333,2.849333,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719985","marine water body","water","water",NA,"ERR770968_","Ocean Sampling Day","metagenome","WGS",NA,"Pacific Ocean",33.55,-118.4,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719986","marine water body","water","water",NA,"ERR771078_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",43.175843,27.908643,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719987","marine water body","water","water",NA,"ERR770982_","Ocean Sampling Day","metagenome","WGS",NA,"Pacific Ocean",-36.292794,174.818567,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719988","marine water body","water","water",NA,"ERR771062_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",41.6666666,18.5833333,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719989","marine water body","water","water",NA,"ERR771056_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",44.66666,-1.16666,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719990","marine water body","water","water",NA,"ERR771105_","Ocean Sampling Day","metagenome","WGS",NA,"Pacific Ocean",41.839834,-83.18995,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719991","marine water body","water","water",NA,"ERR770979_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",45.4142,12.4378,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719992","marine water body","water","water",NA,"ERR771017_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",27.4694,-80.283366,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719993","marine water body","water","water",NA,"ERR771087_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",51.7423,-8.3112,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719994","marine water body","water","water",NA,"ERR771018_","Ocean Sampling Day","metagenome","WGS",NA,"Indian Ocean",16.802575,88.08165,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719995","marine water body","water","water",NA,"ERR771057_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",36.997655,-7.973119,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719996","marine water body","water","water",NA,"ERR771004_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",27.61578,-82.72587,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719997","marine water body","water","water",NA,"ERR771104_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",35.35,25.29,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719998","marine water body","water","water",NA,"ERR771083_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",55.03306,-1.43278,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4719999","marine water body","water","water",NA,"ERR771036_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",51.277933,2.613667,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720000","marine water body","water","water",NA,"ERR771008_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",40.808,14.25,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720001","marine water body","water","water",NA,"ERR771065_","Ocean Sampling Day","metagenome","WGS",NA,"North Sea",53.580926,8.148636,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720002","marine water body","water","water",NA,"ERR770966_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",32.74675,-9.036667,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720003","marine water body","water","water",NA,"ERR771025_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",64.208333,-22.015,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720004","marine water body","water","water",NA,"ERR770964_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",33.259611,-8.499222,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720005","marine water body","water","water",NA,"ERR770962_","Ocean Sampling Day","metagenome","WGS",NA,"Indian Ocean",1.2726,103.9206,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720007","marine water body","water","water",NA,"ERR770971_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",74.31,-20.3043,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720008","marine water body","water","water",NA,"ERR771058_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",44.6936,-63.6403,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720009","marine water body","water","water",NA,"ERR771010_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",24.7449,-80.78375,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720010","marine water body","water","water",NA,"ERR771026_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",48.7778,-3.9375,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720011","marine water body","water","water",NA,"ERR771059_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",44.6936,-63.6403,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720012","marine water body","water","water",NA,"ERR770976_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",41.6835,-8.8341,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720013","marine water body","water","water",NA,"ERR771103_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",32.741808,-16.711281,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720014","marine water body","water","water",NA,"ERR771072_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",60.16121,5.11504,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720015","marine water body","water","water",NA,"ERR771076_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",42.252939,27.415647,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720016","marine water body","water","water",NA,"ERR771027_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",35,33,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720017","marine water body","water","water",NA,"ERR770978_","Ocean Sampling Day","metagenome","WGS",NA,"Pacific Ocean",-45.7442,170.7706,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720018","marine water body","water","water",NA,"ERR770999_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",35.661,24.99,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720019","marine water body","water","water",NA,"ERR771002_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",45.502,12.4176,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720020","marine water body","water","water",NA,"ERR770973_","Ocean Sampling Day","metagenome","WGS",NA,"Mediterranean Sea",44,13,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720021","marine water body","water","water",NA,"ERR771080_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",65.4877,-18.06032,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
"mgm4720022","marine water body","water","water",NA,"ERR771089_","Ocean Sampling Day","metagenome","WGS",NA,"Atlantic Ocean",39.415067,-9.218828,"ocean biome","mgp20252","free-living","coastal_seawater","marine","saline_water","ocean sampling day team","illumina"
