"samples","feature","material","env.package","metagenome_taxonomy","sample_name","project_name","investigation_type","sequence_type","continent","country","latitude","longitude","raw_biome","project_id","life_style","habitat","biosphere","ecosystem"
"mgm4552613","farm","agricultural soil","soil",NA,"2012_6_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.899675,-85.0078833333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552614","farm","agricultural soil","soil",NA,"2012_7_corn_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8877222222222,-84.9814111111111,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552615","farm","agricultural soil","soil",NA,"2012_8_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8902666666667,-84.9825833333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552616","farm","agricultural soil","soil",NA,"2012_9_Corn_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.9469472222222,-84.8146777777778,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552617","farm","agricultural soil","soil",NA,"2013_11_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.9298916666667,-84.7643583333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552618","farm","agricultural soil","soil",NA,"2013_12_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.9307555555556,-84.7675305555556,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552619","farm","agricultural soil","soil",NA,"2013_13_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8126444444444,-84.9107166666667,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552620","farm","agricultural soil","soil",NA,"2013_14_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8011416666667,-84.92135,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552621","farm","agricultural soil","soil",NA,"2013_15_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.459325,-84.9521861111111,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552622","farm","agricultural soil","soil",NA,"2013_16_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.4614666666667,-84.9431305555556,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552623","farm","agricultural soil","soil",NA,"2013_17_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8791833333333,-84.97925,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552624","farm","agricultural soil","soil",NA,"2013_18_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8762972222222,-84.9788666666667,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552625","farm","agricultural soil","soil",NA,"2013_19_Soy_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8761305555556,-84.9817638888889,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552626","farm","agricultural soil","soil",NA,"2013_1_Soy_No_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7653833333333,-84.8479583333333,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552627","farm","agricultural soil","soil",NA,"2013_20_Corn_Yes_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.8797194444444,-84.9821777777778,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","farm_soil","terrestrial","soil"
"mgm4552628","canopy","leafy wood soil","soil",NA,"2013_23_forest_submit.fastq","EarlhamMetagenomics2013","metagenome","WGS","north america","USA",39.7509444444444,-84.9187777777778,"Temperate broadleaf and mixed forest biome","mgp7877","free-living","forest_soil","terrestrial","soil"
