"samples","life_style","biosphere","ecosystem","habitat","country","project_name","latitude","longitude","PI_lastname","seq_method"
"mgm4520393","host-associated","terrestrial","plant_associated","rhizosphere","United States of America","Merlot microbiome",41.01534,-72.52817,"gilbert","illumina"
"mgm4440370","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440371","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440374","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440375","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440376","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440377","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4440380","host-associated","marine","animal_host-associated","coral","United States of America","Stressed Coral Holobionts",21.434,-157.7878,"vega thurber","454"
"mgm4535626","host-associated","terrestrial","animal_host-associated","animal_feces","Switzerland","LCM mouse microbiota metagenome",47.24,8.3,"hardt","illumina"
"mgm4535627","host-associated","terrestrial","animal_host-associated","animal_feces","Switzerland","LCM mouse microbiota metagenome",47.24,8.3,"hardt","illumina"
"mgm4772356","host-associated","terrestrial","animal_host-associated","animal_manure","South Korea","LI_CBNU",35,126,"moon","ion torrent"
"mgm4749366","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample A1",34.3992,-118.9182,"egusa","illumina"
"mgm4749367","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample A1",34.3992,-118.9182,"egusa","illumina"
"mgm4749858","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample B8",34.3992,-118.9182,"egusa","illumina"
"mgm4749859","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample B8",34.3992,-118.9182,"egusa","illumina"
"mgm4749860","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample C1",34.3992,-118.9182,"egusa","illumina"
"mgm4749861","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample C1",34.3992,-118.9182,"egusa","illumina"
"mgm4749862","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample C2",34.3992,-118.9182,"egusa","illumina"
"mgm4749863","host-associated","terrestrial","animal_host-associated","aqueous_humour","United States of America","IBK Shotgun Metagenomics Analysis Sample C2",34.3992,-118.9182,"egusa","illumina"
"mgm4461341","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",32.736585,-117.151475,"Gordon","454"
"mgm4461342","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461343","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461344","host-associated","terrestrial","animal_host-associated","animal_feces","Namibia","muegge_mammals_paper_mammal_samples_MG",22.9576,18.4904,"Gordon","454"
"mgm4461345","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",32.736585,-117.151475,"Gordon","454"
"mgm4461346","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",39.55005,-105.782067,"Gordon","454"
"mgm4461347","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461348","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461349","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461350","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461351","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461352","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461353","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
"mgm4461354","host-associated","terrestrial","animal_host-associated","animal_feces","United States of America","muegge_mammals_paper_mammal_samples_MG",38.633556,-90.29137,"Gordon","454"
